time,dist_mm,dt_ms,speed_reg,speed_m_s,x_left,x_right,state
2026-06-21 19:57:14,150,4178,35,0.035,0,883,OK
2026-06-21 20:09:54,150,4074,36,0.036,0,883,OK
2026-06-21 22:13:19,150,4034,37183,37.183,0,882,OK
2026-06-21 22:16:35,150,8122,18468,18.468,0,883,OK
2026-06-21 22:19:27,150,7234,20735,20.735,0,883,OK
2026-06-21 22:21:43,150,8186,18323,18.323,0,882,OK
2026-06-21 22:22:47,150,7276,20615,20.615,0,882,OK
2026-06-21 22:24:48,151,7430,20323,20.323,0,882,OK
2026-06-21 22:34:34,150,3600,41666,41.666,0,883,OK
2026-06-21 22:35:44,150,3600,41666,41.666,0,883,OK
2026-06-21 22:41:32,150,7174,20908,20.908,0,883,OK
2026-06-21 22:46:23,150,7170,20920,20.920,0,883,OK
2026-06-22 08:09:27,150,7217,20784,20.784,0,882,OK
2026-06-24 10:18:41,150,4489,33415,33.415,0,868,OK
2026-06-24 10:30:51,150,4052,37018,37.018,0,871,OK
2026-06-24 10:47:34,150,14607,10269,10.269,0,870,OK
2026-06-24 10:52:19,150,5344,28068,28.068,0,869,OK
2026-06-24 11:06:42,150,5371,27927,27.927,0,873,OK
2026-06-24 11:13:52,150,5594,26814,26.814,0,870,OK
2026-06-24 11:20:59,150,5121,29291,29.291,0,868,OK
2026-06-24 11:28:11,150,3951,37965,37.965,0,871,OK
2026-06-24 11:35:23,150,5714,26251,26.251,0,871,OK
2026-06-24 11:42:37,150,5316,28216,28.216,0,867,OK
2026-06-24 12:03:57,150,5419,27680,27.680,0,873,OK
2026-06-24 12:11:07,150,5667,26469,26.469,0,872,OK
2026-06-24 12:18:05,150,5009,29946,29.946,0,874,OK
2026-06-24 12:31:27,150,21937,6837,6.837,0,872,OK
2026-06-24 12:40:32,150,14030,10691,10.691,0,875,OK
2026-06-24 12:46:14,150,24746,6061,6.061,0,874,OK
2026-06-24 12:46:51,150,17732,8459,8.459,0,870,OK
2026-06-24 12:54:02,150,5121,29291,29.291,0,873,OK
2026-06-24 13:01:09,150,4719,31786,31.786,0,871,OK
2026-06-24 13:08:11,150,5520,27173,27.173,0,1068,OK
2026-06-24 13:08:27,150,5420,27675,27.675,0,874,OK
2026-06-24 13:44:38,150,5155,29097,29.097,0,874,OK
2026-06-24 13:51:42,150,4936,30388,30.388,0,872,OK
2026-06-24 14:06:16,150,5040,29761,29.761,0,871,OK
2026-06-24 14:13:06,150,5864,25579,25.579,0,871,OK
2026-07-01 15:39:27,150,9327,16082,16.082,0,831,OK
